Date, goldprice,sp500,cpi,3monthtreasurybill,usdollarindex,crudeoilprice,inflation,returnofgoldprice,returnofsp500,changeofcpi,changeof3monthtreasurybill,returnofusdollarindex,returnofcrudeoil,changeofinflation
1986-02,339.053,226.919998,109.700,7.06,111.414,15.46,-0.3,-0.018833144,0.071489277,-0.200,-0.01,-0.029630017,-0.325774095,-0.6
1986-03,346.095,238.899994,109.100,6.56,109.365,12.61,-0.5,0.020769614,0.052793919,-0.600,-0.50,-0.018390866,-0.184346701,-0.2
1986-04,340.716,235.520004,108.700,6.06,108.382,12.84,-0.2,-0.015541975,-0.014148138,-0.400,-0.50,-0.00898825,0.018239492,0.3
1986-05,342.325,247.350006,109.000,6.15,106.668,15.38,0.3,0.004722408,0.050229288,0.300,0.09,-0.015814434,0.197819315,0.5
1986-06,342.798,250.839996,109.400,6.21,107.658,13.43,0.6,0.001381728,0.014109521,0.400,0.06,0.009281134,-0.126788036,0.3
1986-07,348.554,236.119995,109.500,5.83,105.783,11.59,0,0.01679123,-0.058682831,0.100,-0.38,-0.017416263,-0.137006701,-0.6
1986-08,376.29,252.929993,109.600,5.53,104.454,15.10,0.2,0.079574471,0.071192607,0.100,-0.30,-0.012563455,0.302847282,0.2
1986-09,418.152,231.320007,110.000,5.21,104.676,14.87,0.5,0.111249302,-0.085438606,0.400,-0.32,0.002125337,-0.015231788,0.3
1986-10,423.863,243.979996,110.200,5.18,104.769,14.90,0.1,0.013657713,0.05472933,0.200,-0.03,0.000888456,0.002017485,-0.4
1986-11,396.983,249.220001,110.400,5.35,105.711,15.22,0.1,-0.063416717,0.021477191,0.200,0.17,0.008991209,0.02147651,0
1986-12,391.595,242.169998,110.800,5.53,105.049,16.11,0.1,-0.01357237,-0.028288271,0.400,0.18,-0.006262357,0.05847569,0
1987-01,408.524,274.079987,111.400,5.43,102.187,18.65,0.6,0.043230889,0.131766896,0.600,-0.10,-0.027244429,0.157666046,0.5
1987-02,401.045,284.200012,111.800,5.59,101.257,17.75,0.4,-0.01830737,0.036923619,0.400,0.16,-0.009100962,-0.048257373,-0.2
1987-03,408.848,291.700012,112.200,5.59,100.711,18.30,0.4,0.019456669,0.026389865,0.400,0.00,-0.00539222,0.030985915,0
1987-04,439.665,288.359985,112.700,5.64,98.666,18.68,0.5,0.075375201,-0.011450212,0.500,0.05,-0.020305627,0.020765027,0.1
1987-05,461.65,290.100006,113.000,5.66,98.065,19.44,0.4,0.05000398,0.006034197,0.300,0.02,-0.006091257,0.040685225,-0.1
1987-06,449.282,304,113.500,5.67,99.141,20.07,0.4,-0.026790859,0.047914491,0.500,0.01,0.010972314,0.032407407,0
1987-07,450.33,318.660004,113.800,5.69,100.271,21.34,0.3,0.002332611,0.048223697,0.300,0.02,0.011397908,0.063278525,-0.1
1987-08,460.988,329.799988,114.300,6.04,99.863,20.31,0.5,0.023667089,0.03495884,0.500,0.35,-0.004068973,-0.048266167,0.2
1987-09,460.12,321.829987,114.700,6.40,98.435,19.53,0.5,-0.001882912,-0.024166165,0.400,0.36,-0.01429959,-0.038404727,0
1987-10,465.764,251.789993,115.000,6.13,98.11,19.86,0.3,0.012266365,-0.217630416,0.300,-0.27,-0.003301671,0.016897081,-0.2
1987-11,468.14,230.300003,115.400,5.69,94.806,18.85,0.1,0.005101296,-0.085348865,0.400,-0.44,-0.033676486,-0.050855992,-0.2
1987-12,487.079,247.080002,115.600,5.77,92.37,17.28,0,0.040455847,0.07286148,0.200,0.08,-0.025694576,-0.083289125,-0.1
1988-01,477.758,257.070007,116.000,5.81,92.135,17.13,0.3,-0.019136526,0.040432269,0.400,0.04,-0.002544116,-0.008680556,0.3
1988-02,442.124,267.820007,116.200,5.66,92.515,16.80,0.3,-0.074585878,0.041817403,0.200,-0.15,0.004124383,-0.019264448,0
1988-03,443.491,258.890015,116.500,5.70,91.251,16.20,0.4,0.003091893,-0.03334326,0.300,0.04,-0.013662649,-0.035714286,0.1
1988-04,451.558,261.329987,117.200,5.91,90.493,17.86,0.5,0.018189772,0.009424744,0.700,0.21,-0.008306758,0.102469136,0.1
1988-05,451.32,262.160004,117.500,6.26,90.703,17.42,0.3,-0.000527064,0.003176126,0.300,0.35,0.002320621,-0.024636058,-0.2
1988-06,451.657,273.5,118.000,6.46,91.803,16.53,0.4,0.000746699,0.043256011,0.500,0.20,0.012127493,-0.0510907,0.1
1988-07,437.452,272.019989,118.500,6.73,93.784,15.50,0.4,-0.031450858,-0.005411375,0.500,0.27,0.021578816,-0.06231095,0
1988-08,431.064,261.519989,119.000,7.06,94.586,15.52,0.4,-0.014602745,-0.038600104,0.500,0.33,0.008551565,0.001290323,0
1988-09,413.439,271.910004,119.500,7.24,94.731,14.54,0.7,-0.0408872,0.039729334,0.500,0.18,0.001532996,-0.06314433,0.3
1988-10,406.39,278.970001,119.900,7.35,92.648,13.77,0.3,-0.017049674,0.025964462,0.400,0.11,-0.021988578,-0.052957359,-0.4
1988-11,419.966,273.700012,120.300,7.76,90.376,14.14,0.1,0.033406334,-0.018890881,0.400,0.41,-0.024522925,0.026870007,-0.2
1988-12,419.248,277.720001,120.700,8.07,89.847,16.38,0.2,-0.001709662,0.014687573,0.400,0.31,-0.005853324,0.158415842,0.1
1989-01,404.445,297.470001,121.200,8.27,91.272,18.02,0.5,-0.035308457,0.071114792,0.500,0.20,0.015860296,0.1001221,0.3
1989-02,387.973,288.859985,121.600,8.53,91.425,17.94,0.4,-0.040727417,-0.028944149,0.400,0.26,0.001676308,-0.004439512,-0.1
1989-03,390.274,294.869995,122.200,8.82,92.731,19.48,0.6,0.005930825,0.020805962,0.600,0.29,0.014284933,0.085841695,0.2
1989-04,384.72,309.640015,123.100,8.65,93.091,21.07,0.7,-0.014231027,0.050089939,0.900,-0.17,0.003882197,0.081622177,0.1
1989-05,371.35,320.519989,123.700,8.43,94.794,20.12,0.6,-0.034752547,0.035137493,0.600,-0.22,0.018293927,-0.045087803,-0.1
1989-06,367.727,317.980011,124.100,8.15,96.225,20.05,0.2,-0.009756295,-0.007924554,0.400,-0.28,0.015095892,-0.003479125,-0.4
1989-07,375.21,346.079987,124.500,7.88,94.531,19.78,0.2,0.020349335,0.088370259,0.400,-0.27,-0.017604573,-0.013466334,0
1989-08,365.548,351.450012,124.500,7.90,94.746,18.58,0.2,-0.025750913,0.015516716,0.000,0.02,0.002274386,-0.060667341,0
1989-09,361.798,349.149994,124.800,7.75,95.408,19.59,0.3,-0.010258571,-0.006544367,0.300,-0.15,0.006987102,0.054359526,0.1
1989-10,366.8,340.359985,125.400,7.64,94.065,20.10,0.5,0.013825394,-0.025175452,0.600,-0.11,-0.014076388,0.026033691,0.2
1989-11,394.361,345.98999,125.900,7.69,94.083,19.86,0.2,0.07513904,0.016541325,0.500,0.05,0.000191357,-0.011940299,-0.3
1989-12,409.655,353.399994,126.300,7.63,93.175,21.10,0.2,0.038781725,0.021416816,0.400,-0.06,-0.009651053,0.062437059,0
1990-01,410.118,329.079987,127.500,7.64,92.847,22.86,1,0.001130219,-0.068817225,1.200,0.01,-0.003520258,0.083412322,0.8
1990-02,416.543,331.890015,128.000,7.74,92.967,22.11,0.5,0.015666223,0.008539043,0.500,0.10,0.001292449,-0.032808399,-0.5
1990-03,393.661,339.940002,128.600,7.90,94.102,20.39,0.5,-0.054933104,0.024254984,0.600,0.16,0.012208633,-0.077792854,0
1990-04,374.929,330.799988,128.900,7.77,94.007,18.43,0.2,-0.047584089,-0.026887139,0.300,-0.13,-0.001009543,-0.096125552,-0.3
1990-05,368.855,361.230011,129.100,7.74,93.01,18.20,0.2,-0.016200401,0.09198919,0.200,-0.03,-0.010605593,-0.012479653,0
1990-06,352.657,358.019989,129.900,7.73,93.307,16.70,0.5,-0.043914275,-0.008886366,0.800,-0.01,0.003193205,-0.082417582,0.3
1990-07,361.82,356.149994,130.500,7.62,91.657,18.45,0.4,0.025982754,-0.005223158,0.600,-0.11,-0.017683561,0.104790419,-0.1
1990-08,394.861,322.559998,131.600,7.45,90.248,27.31,0.9,0.091318888,-0.094314184,1.100,-0.17,-0.01537253,0.480216802,0.5
1990-09,389.56,306.049988,132.500,7.36,89.349,33.51,0.8,-0.013424977,-0.051184307,0.900,-0.09,-0.00996144,0.227023068,-0.1
1990-10,381.333,304,133.400,7.17,87.59,36.04,0.6,-0.021118698,-0.006698213,0.900,-0.19,-0.019686846,0.075499851,-0.2
1990-11,381.866,322.220001,133.700,7.06,87.358,32.33,0.2,0.001397728,0.059934214,0.300,-0.11,-0.002648704,-0.102941176,-0.4
1990-12,378.161,330.220001,134.200,6.74,88.232,27.28,0,-0.009702356,0.024827757,0.500,-0.32,0.010004808,-0.15620167,-0.2
1991-01,384.591,343.929993,134.700,6.22,87.979,25.23,0.6,0.01700334,0.041517752,0.500,-0.52,-0.00286744,-0.075146628,0.6
1991-02,363.748,367.070007,134.800,5.94,86.881,20.48,0.1,-0.054195236,0.067281175,0.100,-0.28,-0.012480251,-0.188267935,-0.5
1991-03,363.39,375.220001,134.800,5.91,89.778,19.90,0.1,-0.000984198,0.022202833,0.000,-0.03,0.03334446,-0.028320313,0
1991-04,358.055,375.339996,135.100,5.65,90.746,20.83,0.1,-0.014681197,0.000319799,0.300,-0.26,0.010782152,0.046733668,0
1991-05,357.117,389.829987,135.600,5.46,91.074,21.23,0.3,-0.002619709,0.038604975,0.500,-0.19,0.003614484,0.019203072,0.2
1991-06,366.36,371.160004,136.000,5.57,92.212,20.19,0.3,0.025882274,-0.047892629,0.400,0.11,0.012495333,-0.048987282,0
